movieName,releaseMonth,dailyBox
大上海,01,541.61
大上海,01,561.44
大上海,01,441.51
大上海,01,169.65
大上海,01,152.26
大上海,01,156.34
大上海,01,147.27
大上海,01,222.1
大上海,01,203.64
大叔，我爱你,01,0.05
大叔，我爱你,01,0.22
大叔，我爱你,01,0.04
大叔，我爱你,01,0.04
大叔，我爱你,01,0.15
大叔，我爱你,01,89.65
大叔，我爱你,01,110.17
大叔，我爱你,01,98.69
大叔，我爱你,01,61.36
大叔，我爱你,01,18.69
大叔，我爱你,01,12.27
大叔，我爱你,01,11.82
大叔，我爱你,01,11.92
大叔，我爱你,01,14.46
大城小事,01,0.01
大城小事,01,0.02
大寒桃花开,01,0.02
大寒桃花开,01,26.58
大寒桃花开,01,21.28
大寒桃花开,01,16.96
大寒桃花开,01,10.05
大寒桃花开,01,8.63
大寒桃花开,01,6.24
大寒桃花开,01,4.64
大寒桃花开,01,3.89
大寒桃花开,01,1.77
大寒桃花开,01,2.31
大寒桃花开,01,2.35
大寒桃花开,01,1.82
大寒桃花开,01,1.26
大山的女儿,01,1.64
大武生,01,0.02
大武生,01,0.02
大武生,01,0.02
大武生,01,0.01
大武生,01,0.01
大漠赤诚,01,0.6
大漠赤诚,01,0.64
大漠赤诚,01,0.72
大漠赤诚,01,0.6
大漠赤诚,01,0.69
大漠赤诚,01,0.61
大漠赤诚,01,0.88
大漠赤诚,01,0.73
大漠赤诚,01,0.67
大漠赤诚,01,0.88
大漠赤诚,01,1.05
大漠赤诚,01,0.64
大漠赤诚,01,0.75
大牌+39&deg;,01,0.03
大电影2.0之两个傻瓜的荒唐事,01,0.01
大电影2.0之两个傻瓜的荒唐事,01,0.01
大电影2.0之两个傻瓜的荒唐事,01,0.01
大电影2.0之两个傻瓜的荒唐事,01,0.01
大腕,01,0.05
大追捕,01,0.09
大追捕,01,0.1
大追捕,01,0.05
大追捕,01,0.11
大追捕,01,0.13
大追捕,01,0.06
大追捕,01,0.04
大追捕,01,0.06
大追捕,01,0.05
大追捕,01,0.02
大追捕,01,0.05
大追捕,01,0.04
大追捕,01,0.02
大闹天宫（动画版）,01,0.44
大闹天宫（动画版）,01,5.83
天之恩赐,01,0.09
天之恩赐,01,0.03
天地逃生,01,0.01
天地逃生,01,0.03
天地逃生,01,0.02
天津闲人,01,0.11
天津闲人,01,0.14
天生有福,01,0.29
天生有福,01,0.2
天生有福,01,0.08
天生有福,01,0.08
天生有福,01,0.65
天生有福,01,0.16
天生有福,01,0.07
天生爱情狂,01,0.75
天生爱情狂,01,0.68
天生爱情狂,01,0.57
天生爱情狂,01,0.43
天生爱情狂,01,0.76
天生爱情狂,01,0.43
天生爱情狂,01,0.26
天生爱情狂,01,0.25
天生爱情狂,01,0.19
天生爱情狂,01,0.17
天生爱情狂,01,0.25
天生爱情狂,01,0.27
天生爱情狂,01,0.27
天生爱情狂,01,0.07
天行者,01,0.01
天际浩劫,01,0.02
天际浩劫,01,0.01
天际浩劫,01,0.03
天际浩劫,01,0.01
天际浩劫,01,0.02
天际浩劫,01,0.02
天际浩劫,01,0.04
天黑请闭眼,01,0.01
天黑请闭眼,01,0.01
天黑请闭眼,01,0.01
太空熊猫历险记,01,51.86
太空熊猫历险记,01,1.9
太空熊猫历险记,01,2.71
太空熊猫历险记,01,21.67
太空熊猫历险记,01,18.34
太空熊猫历险记,01,1.09
太空熊猫历险记,01,1.33
太空熊猫历险记,01,0.94
太空熊猫历险记,01,1.38
夺命地铁,01,0.4
夺命地铁,01,212.18
夺命地铁,01,232.41
夺命地铁,01,233.29
夺命地铁,01,148.22
夺命地铁,01,162.87
夺命地铁,01,165.06
夺命地铁,01,149.24
夺命地铁,01,39.53
夺命地铁,01,51.71
夺命地铁,01,47.96
夺命地铁,01,39.86
夺命地铁,01,43.62
夺命地铁,01,41.93
夺命追踪,01,0.03
夺命追踪,01,0.02
夺命追踪,01,0.04
夺命追踪,01,0.04
夺命追踪,01,0.01
夺命追踪,01,0.01
夺命追踪,01,0.13
夺命追踪,01,147.19
夺命追踪,01,133.35
夺命追踪,01,128.39
夺命追踪,01,98.63
夺命追踪,01,106.9
夺命追踪,01,101.7
夺命追踪,01,25.28
夺宝联盟,01,1.08
夺宝联盟,01,286.21
夺宝联盟,01,241.93
夺宝联盟,01,244.09
夺宝联盟,01,309.01
夺宝联盟,01,427.37
夺宝联盟,01,379.82
夺宝联盟,01,46.8
夺宝联盟,01,56.42
夺宝联盟,01,55.51
夺宝联盟,01,35.7
夺宝联盟,01,22.87
夺宝联盟,01,21.29
夺宝联盟,01,22.23
奇缘灰姑娘,01,0.01
奇缘灰姑娘,01,1.78
奔爱,01,7.02
奔跑吧！兄弟,01,8017.93
奔跑吧！兄弟,01,8616.99
奔驰的大葱,01,7.23
奔驰的大葱,01,6.33
奔驰的大葱,01,3.64
奔驰的大葱,01,0.91
奔驰的大葱,01,0.46
奥林匹斯的陷落,01,564.13
奥林匹斯的陷落,01,274.37
奥林匹斯的陷落,01,192.5
奥林匹斯的陷落,01,300.12
奥林匹斯的陷落,01,236.98
