relName,mediaName
张荣吉,五月天追梦3DNA
张蠡,一起飞
张蠡,大峰祖师
张训玮,宝岛双雄
张鑫,娱乐是个圈
张鑫,不肯去观音
张鑫,镇海保卫战
张长征,当我们年轻的时候
张长征,再爱一次好不好
张馨,Hi，高考君
张骁,跟踪孔令学
张鹏,城市游戏
张黎,辛亥革命
彭三源,失孤
彭丹,南泥湾
彭发,通灵之六世古宅
彭发,逃出生天3D
彭发,探灵档案
彭发,追凶
彭发,妄想症
彭发,魔镜
彭大魔,夏洛特烦恼
彭晖,线索
彭浩翔,撒娇女人最好命
彭浩翔,人间·小团圆
彭浩翔,春娇与志明
彭磊,乐队
彭际航,刺夜
彭顺,我的战争
彭顺,逃出生天3D
彭顺,梦游3D
彭顺,B+侦探
彭顺,同谋
彭顺,宅女侦探桂香
彭飞,青蛙王国之冰冻大冒险
彭鹏华,魔都凶音
彼得·列佩尼奥提斯,抢劫坚果店
彼得·博格,超级战舰
彼得·博格,深海浩劫
彼得·拉姆齐,守护者联盟
彼得·杰克逊,霍比特人1：意外旅程
彼得·杰克逊,霍比特人：五军之战
彼得·杰克逊,霍比特人：史矛革之战
彼得·洛伊德,神奇海盗团
彼得·特拉维斯,特警判官
彼特·道格特,头脑特工队
征长张,爱情麻辣烫之情定终身
徐伟,冰河追凶
徐克,狄仁杰之神都龙王
徐克,智取威虎山3D
徐克,81号农场之保卫麦咭
徐克,特功明星
徐克,龙门飞甲
徐克,绿林大冒险
徐克,糖果世界大冒险
徐克,81号农场之疯狂的麦咭
徐克,超蛙战士之威武教官
徐博,非常营救
徐子牧,无界之地
徐峥,人再囧途之泰囧
徐峥,港囧
徐志强,U盘
徐捷,古宝奇缘
徐捷,夺命推理
徐捷,盗剑72小时
徐昂,十二公民
徐杰,异度迷局
徐正超,伤心童话
徐正超,男神时代
徐正超,张震讲故事之鬼迷心窍
徐浩峰,箭士柳白猿
徐皓峰,倭寇的踪迹
徐皓峰,师父
徐程,遭遇海明威
徐耿,钢铁，是这样炼成的
徐耿,吴仁宝
徐艺华,无法触碰的爱
徐超,芳香之城传奇
徐远翔,老男孩之猛龙过江
徐静蕾,有一个地方只有我们知道
徐静蕾,亲密敌人
徐鸿钧,桔子的天空
得胜,爸爸的木房子
得胜与鲍勃,爸爸的木房子
德克斯特·弗莱彻,飞鹰艾迪
忻钰坤,再见，在也不见
忻钰坤,心迷宫
戈尔·维宾斯基,独行侠
戎川,一刻十年
成宝钢,乐乐熊奇幻追踪
成龙,十二生肖
成龙,辛亥革命
战越,张震讲故事之合租屋
戚健,守望天山
戚家基,刑警兄弟
戴夫·格林,忍者神龟2：破影而出
戴思杰,夜孔雀
戴玮,西藏往事
戴睿,年少轻狂
戴维,闪魂
扈耀之,我和你
扈耀之,永不消失的广播
扎克·布拉夫,心在彼处
扎克·施奈德,美少女特攻队
扎克·施奈德,蝙蝠侠大战超人：正义黎明
扎克·施奈德,超人：钢铁之躯
托尼·吉尔罗伊,谍影重重4
托比·格恩柯尔,诺亚方舟漂流记
托比·格恩柯尔,诺亚方舟漂流记
拉加·高斯内尔,蓝精灵2
拉加·高斯内尔,蓝精灵
拉娜·沃卓斯基,云图
拉杜·裘德,喝彩
拜恩·霍华德,疯狂动物城
提莫·贝克曼贝托夫,宾虚
摩撒利,笔仙撞碟仙
敏卉,站起来
文伟鸿,使徒行者
文牧野,恋爱中的城市
文章,陆垚知马俐
