directorrate,castrate1,castrate2,theme1,theme2,theme3,year,month,day,boxtotal,product1,product2,product3,totalBox14,isHoliday
0,10,104486,36,42,0,2014,11,13,1894,50,0,0,1602,0
0,33,169213,38,39,40,2014,11,14,503,0,0,0,485,0
0,31,623222,39,41,45,2014,11,14,25321,1,0,0,15980,0
19930,26,76493,43,0,0,2014,11,15,3324,20,23,0,1272,0
0,14,444300,34,44,0,2014,11,21,11902,2,14,41,9907,0
0,5,188109,45,0,0,2014,11,21,174,1,0,0,167,0
288,21,111387,45,46,0,2014,11,21,10,0,0,0,8,0
0,14,187108,45,46,0,2014,11,28,59,50,0,0,55,0
0,5,30493,45,0,0,2014,11,28,6,0,0,0,6,0
0,2,58156,35,46,0,2014,11,28,7,85,0,0,6,0
0,26,593657,37,42,0,2014,11,28,2114,1,0,0,2067,0
0,33,133291,45,46,0,2014,11,29,7,0,0,0,6,0
0,32,334412,26,43,0,2014,12,4,227,12,18,23,67,0
35094,7,214652,36,42,46,2014,12,12,628,35,0,0,605,0
0,15,425763,40,41,45,2014,12,26,3637,1,0,0,3131,1
1857,6,249311,20,45,46,2014,12,31,0,0,0,0,2,1
1064,0,0,32,40,41,2015,1,1,1046,51,0,0,931,1
739231,43,649339,24,33,45,2015,1,8,36605,25,48,0,26786,0
0,62,698796,29,44,0,2015,1,8,6289,1,5,18,6129,0
0,14,66618,46,0,0,2015,1,9,6,0,0,0,6,0
0,12,484479,33,45,0,2015,1,9,345,1,41,0,327,0
0,18,1009253,39,42,0,2015,1,10,880,1,0,0,854,0
0,19,461980,22,33,40,2015,1,16,17291,1,3,125,16855,0
0,45,686927,38,39,44,2015,1,16,2456,8,0,0,2419,0
277001,53,458780,42,0,0,2015,1,23,757,0,0,0,741,0
0,60,343740,45,46,0,2015,1,23,125,30,0,0,119,0
0,1,1334,11,31,0,2015,1,23,81,67,0,0,74,0
0,10,120168,45,0,0,2015,1,23,77,0,0,0,72,0
1432497,6,748351,25,40,44,2015,1,23,76607,0,0,0,63574,0
4485,10,55914,45,0,0,2015,1,27,25,0,0,0,20,0
0,51,389506,45,0,0,2015,1,29,177,28,0,0,173,0
0,53,698672,45,0,0,2015,1,30,43428,1,2,11,40350,0
31833,1,7512,40,41,45,2015,1,30,29558,12,43,75,21796,0
0,12,116716,37,44,0,2015,1,30,44,50,0,0,41,0
0,7,326531,15,44,0,2015,1,30,3682,1,3,125,3474,0
72279,0,0,41,45,0,2015,1,31,6777,18,51,127,5615,0
0,36,292320,11,40,43,2015,1,31,497,0,0,0,467,0
0,31,150443,39,42,44,2015,2,6,244,37,0,0,242,1
2413748,103,1418678,45,0,0,2015,2,6,8,2,52,0,7,1
2413748,129,1856176,45,46,0,2015,2,6,8,2,52,0,7,1
699499,14,749188,37,40,42,2015,2,8,22497,1,32,0,22336,1
0,48,743738,27,0,0,2015,2,12,240,1,0,0,232,1
0,45,153765,46,0,0,2015,2,13,307,54,0,0,301,1
369155,41,411024,46,0,0,2015,2,19,15629,9,25,69,14992,1
0,0,0,41,0,0,2015,2,19,70,0,0,0,69,1
0,56,479460,45,0,0,2015,3,1,1529,5,12,0,1478,0
0,3,3273,45,0,0,2015,3,5,83,0,0,0,77,0
0,26,1047705,33,45,0,2015,3,5,9986,1,0,0,8532,0
589,31,277302,43,0,0,2015,3,6,8,1,20,0,1,0
1963195,15,451728,37,40,44,2015,3,6,28437,1,0,0,26988,0
0,13,107129,46,0,0,2015,3,11,18,0,0,0,16,0
842425,21,1290691,33,40,46,2015,3,13,44470,1,6,0,36485,0
35094,5,210408,45,0,0,2015,3,18,23,0,0,0,16,0
0,32,1048399,45,46,0,2015,3,24,9,0,0,0,8,1
0,32,275489,38,39,42,2015,3,27,197,1,0,0,196,1
0,14,689824,40,44,45,2015,3,27,48450,1,0,0,40891,1
0,33,506186,34,44,0,2015,4,3,2433,1,58,0,2420,1
0,43,138130,22,32,45,2015,4,3,308,77,0,0,275,1
0,34,424198,46,0,0,2015,4,3,9,1,0,0,8,1
1446033,6,208256,40,41,44,2015,4,10,304,16,0,0,289,0
1482,51,361698,38,39,43,2015,4,16,137,0,0,0,136,0
0,5,36960,39,45,0,2015,4,17,128,0,0,0,116,0
0,24,401581,40,41,45,2015,4,24,17214,65,0,0,13873,1
0,19,605101,46,0,0,2015,4,28,1,0,0,0,1,1
0,40,245538,45,46,0,2015,5,1,38,128,0,0,34,1
0,0,0,43,0,0,2015,5,1,3,0,0,0,3,1
0,2,9111,46,0,0,2015,5,8,18,1,0,0,15,0
47800,36,475677,42,0,0,2015,5,15,853,130,0,0,782,0
3,34,52039,28,43,0,2015,5,15,55,0,0,0,1,0
61170,32,560196,43,0,0,2015,5,22,28,0,0,0,23,0
61771,11,407748,37,44,0,2015,5,26,4703,1,32,0,4608,0
0,0,0,43,0,0,2015,5,28,3,0,0,0,3,0
1236,3,128905,40,41,45,2015,5,29,551,12,18,21,520,0
7016,3,14594,41,45,0,2015,5,30,158,0,0,0,143,0
1161,17,259230,43,0,0,2015,5,30,7,113,0,0,7,0
172681,16,438409,21,40,42,2015,6,2,62967,1,0,0,49953,0
1967,8,115125,36,39,42,2015,6,5,508,0,0,0,484,0
4372,79,670282,44,46,0,2015,6,5,185,2,126,0,183,0
219409,15,677814,37,40,42,2015,6,10,142065,1,3,31,109291,1
3028,29,276364,44,45,0,2015,6,12,550,0,0,0,548,1
0,21,426604,45,46,0,2015,6,12,535,139,0,0,528,1
25412,3,15375,36,42,0,2015,6,19,869,3,50,0,803,1
54110,23,218398,46,0,0,2015,6,19,2419,1,10,0,2373,1
583096,29,766476,37,40,44,2015,6,19,11013,1,38,44,10493,1
123368,89,453838,42,44,0,2015,6,19,130,0,0,0,125,1
3173,14,412204,20,35,46,2015,6,20,180,5,35,0,179,1
208,38,238504,45,46,0,2015,6,25,67,35,138,0,65,0
0,34,405262,46,0,0,2015,6,26,277,52,95,0,270,0
1505,48,376673,44,46,0,2015,6,26,133,27,0,0,128,0
349,37,238520,43,0,0,2015,6,26,23,1,0,0,16,0
1894,31,256096,36,42,0,2015,6,26,840,1,0,0,826,0
41824,101,502045,33,46,0,2015,6,26,244,0,0,0,241,0
6954,31,364255,46,0,0,2015,7,1,81,0,0,0,63,0
200372,24,223837,39,42,0,2015,7,2,2093,17,57,0,2071,0
509264,74,652914,23,30,40,2015,7,2,40076,29,39,41,39116,0
0,8,283400,45,46,0,2015,7,3,21,113,0,0,17,0
1253,17,511037,38,42,44,2015,7,3,471,60,0,0,450,0
16494,0,0,28,37,40,2015,7,4,584,50,72,0,567,0
0,0,0,32,41,0,2015,7,10,4545,12,21,97,4476,0
1011,5,121306,36,39,42,2015,7,10,226,0,0,0,222,0
0,17,86032,32,40,41,2015,7,23,5661,51,0,0,5512,0
4963909,14,366605,38,39,43,2015,7,24,30,0,0,0,15,0
96604,49,186366,39,45,46,2015,7,28,71,0,0,0,10,0
0,68,832427,34,46,0,2015,7,30,5104,2,8,40,4899,0
0,0,0,40,41,45,2015,7,31,1730,10,0,0,1689,0
0,2,2816,36,42,0,2015,7,31,423,26,0,0,398,0
295,6,172470,45,0,0,2015,7,31,20,0,0,0,18,0
27814,6,27810,41,45,0,2015,8,6,6426,4,49,67,5866,0
383279,46,307116,36,42,0,2015,8,6,341,0,0,0,327,0
1150,8,81611,32,33,45,2015,8,7,332,1,2,0,280,0
16472,14,58064,46,0,0,2015,8,7,21,130,0,0,18,0
1345,7,392764,36,42,0,2015,8,14,1228,50,0,0,1115,0
268948,9,214107,33,40,41,2015,8,14,1113,0,0,0,1010,0
0,7,26183,40,44,46,2015,8,14,304,0,0,0,215,0
18332,27,114214,43,0,0,2015,8,14,28,20,82,0,4,0
8131,1,129114,40,41,0,2015,8,15,85,1,40,0,79,0
0,1,48860,40,41,44,2015,8,21,159,1,108,0,151,0
28954,30,199454,26,34,44,2015,8,25,848,1,5,20,382,0
2478,22,230375,39,42,46,2015,8,28,259,91,0,0,248,0
106275,8,245451,40,41,0,2015,8,28,159,18,0,0,67,0
0,22,65944,38,43,0,2015,9,2,12,0,0,0,5,0
338813,37,519683,42,46,0,2015,9,3,406,26,0,0,372,0
0,12,347648,45,46,0,2015,9,3,37,0,0,0,32,0
20325,25,57652,45,0,0,2015,9,11,80,0,0,0,76,0
536219,10,764198,33,41,45,2015,9,13,43575,1,3,0,35113,0
1175894,8,355705,37,44,45,2015,9,15,10096,3,14,31,9790,1
51136,0,0,27,34,0,2015,9,17,5,0,0,0,1,0
683465,35,480684,26,38,44,2015,9,17,4697,1,0,0,4461,1
42261,22,207817,36,39,42,2015,9,18,405,74,0,0,373,1
399485,22,338275,38,44,0,2015,9,18,398,1,135,0,389,1
11303,24,277490,45,46,0,2015,9,18,65,1,0,0,65,1
270383,42,509505,46,0,0,2015,9,25,7324,1,27,83,6970,1
0,12,74580,36,42,0,2015,9,25,134,113,0,0,107,1
29417,13,449698,33,41,45,2015,9,26,832,0,0,0,783,1
0,0,0,43,0,0,2015,9,29,9,0,0,0,295,0
313808,2,132179,22,32,40,2015,10,1,3828,51,0,0,3564,1
37186,1,14830,40,41,0,2015,10,1,410,1,62,0,401,1
1722865,10,571856,33,40,41,2015,10,6,9723,1,6,0,9353,0
33396,1,6713,27,43,0,2015,10,16,1153,1,17,55,636,0
25739,1,103491,36,42,0,2015,10,16,1046,50,0,0,989,0
339157,22,536229,37,40,44,2015,10,16,67174,1,6,53,56367,0
710048,15,495613,40,44,0,2015,10,22,2848,1,0,0,2830,0
0,19,149246,45,46,0,2015,10,23,5018,10,0,0,4951,0
1985,47,497522,41,0,0,2015,10,23,2077,0,0,0,1846,0
274472,31,177163,44,45,0,2015,10,23,634,12,94,0,623,0
230555,19,520693,41,45,0,2015,10,27,11967,1,14,31,10201,0
622,1,203698,24,45,46,2015,10,29,23,0,0,0,7,0
152531,55,504211,35,39,43,2015,10,30,21524,9,0,0,20713,0
397941,67,540613,43,0,0,2015,10,30,3221,18,39,97,2835,0
151835,2,36445,36,42,0,2015,10,30,853,26,0,0,774,0
